"['2023-07-07', '11:31:51', '86', '242']"
"['2023-07-07', '11:31:52', '80', '237']"
"['2023-07-07', '11:31:53', '76', '237']"
"['2023-07-07', '11:31:54', '76', '237']"
"['2023-07-07', '11:31:55', '78', '237']"
"['2023-07-07', '11:31:56', '76', '236']"
"['2023-07-07', '11:31:57', '75', '238']"
"['2023-07-07', '11:31:58', '77', '236']"
"['2023-07-07', '11:31:59', '77', '239']"
"['2023-07-07', '11:32:00', '81', '239']"
"['2023-07-07', '11:32:01', '80', '241']"
"['2023-07-07', '11:32:02', '94', '244']"
"['2023-07-07', '11:32:03', '78', '236']"
"['2023-07-07', '11:32:04', '78', '237']"
"['2023-07-07', '11:32:05', '79', '237']"
"['2023-07-07', '11:32:06', '77', '240']"
"['2023-07-07', '11:32:07', '81', '239']"
"['2023-07-07', '11:32:08', '76', '237']"
"['2023-07-07', '11:32:09', '78', '238']"
"['2023-07-07', '11:32:10', '85', '246']"
"['2023-07-07', '11:32:54', '81', '236']"
"['2023-07-07', '11:32:55', '121', '274']"
"['2023-07-07', '11:32:56', '78', '234']"
"['2023-07-07', '11:32:57', '77', '237']"
"['2023-07-07', '11:32:58', '77', '238']"
"['2023-07-07', '11:32:59', '78', '238']"
"['2023-07-07', '11:33:00', '132', '294']"
"['2023-07-07', '11:33:01', '78', '242']"
"['2023-07-07', '11:33:02', '77', '238']"
"['2023-07-07', '11:33:03', '77', '239']"
"['2023-07-07', '11:35:37', '0', '0']"
"['2023-07-07', '11:35:38', '0', '0']"
"['2023-07-07', '11:35:39', '0', '0']"
"['2023-07-07', '11:35:40', '0', '0']"
"['2023-07-07', '11:35:41', '0', '0']"
"['2023-07-07', '11:35:42', '0', '0']"
"['2023-07-07', '11:35:43', '0', '0']"
"['2023-07-07', '11:35:44', '0', '0']"
"['2023-07-07', '11:35:45', '0', '0']"
"['2023-07-07', '11:35:46', '0', '0']"
"['2023-07-07', '11:48:04', '78', '237']"
"['2023-07-07', '11:48:05', '112', '272']"
"['2023-07-07', '11:48:06', '79', '234']"
"['2023-07-07', '11:48:07', '78', '233']"
"['2023-07-07', '11:48:08', '79', '235']"
"['2023-07-07', '11:48:09', '80', '234']"
"['2023-07-07', '11:48:10', '89', '235']"
"['2023-07-07', '11:48:11', '77', '236']"
"['2023-07-07', '11:48:12', '78', '235']"
"['2023-07-07', '11:48:13', '80', '234']"
