"['2023-07-07', '07:04:21', '218', '343']"
"['2023-07-07', '07:04:22', '137', '295']"
"['2023-07-07', '07:04:23', '80', '235']"
"['2023-07-07', '07:04:24', '77', '235']"
"['2023-07-07', '07:04:25', '97', '256']"
"['2023-07-07', '07:04:26', '79', '234']"
"['2023-07-07', '07:04:27', '78', '238']"
"['2023-07-07', '07:04:28', '78', '235']"
"['2023-07-07', '07:04:29', '79', '235']"
"['2023-07-07', '07:04:30', '125', '311']"
"['2023-07-07', '07:04:31', '76', '236']"
"['2023-07-07', '07:04:32', '88', '242']"
"['2023-07-07', '07:04:33', '80', '235']"
"['2023-07-07', '07:04:34', '77', '238']"
"['2023-07-07', '07:04:35', '112', '279']"
"['2023-07-07', '07:04:36', '75', '237']"
"['2023-07-07', '07:04:37', '77', '236']"
"['2023-07-07', '07:04:38', '79', '235']"
"['2023-07-07', '07:04:39', '80', '234']"
"['2023-07-07', '07:04:40', '98', '259']"
"['2023-07-07', '07:04:41', '84', '235']"
"['2023-07-07', '07:04:42', '77', '235']"
"['2023-07-07', '07:04:43', '81', '233']"
"['2023-07-07', '07:04:44', '80', '235']"
"['2023-07-07', '07:04:45', '92', '254']"
"['2023-07-07', '07:04:46', '76', '234']"
"['2023-07-07', '07:04:47', '77', '236']"
"['2023-07-07', '07:04:48', '77', '247']"
"['2023-07-07', '07:04:49', '78', '235']"
"['2023-07-07', '07:04:50', '78', '235']"
"['2023-07-07', '07:04:51', '79', '236']"
"['2023-07-07', '07:04:52', '79', '238']"
"['2023-07-07', '07:04:53', '78', '236']"
"['2023-07-07', '07:04:54', '77', '235']"
"['2023-07-07', '07:04:56', '126', '276']"
"['2023-07-07', '07:04:56', '78', '236']"
"['2023-07-07', '07:04:57', '77', '235']"
"['2023-07-07', '07:04:59', '77', '235']"
"['2023-07-07', '07:05:00', '79', '244']"
"['2023-07-07', '07:05:01', '117', '246']"
"['2023-07-07', '07:05:02', '79', '236']"
"['2023-07-07', '07:05:03', '80', '236']"
"['2023-07-07', '07:05:04', '77', '233']"
"['2023-07-07', '07:05:05', '85', '317']"
"['2023-07-07', '07:05:06', '83', '239']"
"['2023-07-07', '07:05:07', '79', '235']"
"['2023-07-07', '07:05:08', '105', '263']"
"['2023-07-07', '07:05:09', '111', '276']"
"['2023-07-07', '07:05:10', '95', '309']"
"['2023-07-07', '07:05:11', '90', '235']"
"['2023-07-07', '07:05:12', '79', '235']"
"['2023-07-07', '07:05:13', '79', '234']"
"['2023-07-07', '07:05:14', '116', '276']"
"['2023-07-07', '07:05:15', '78', '237']"
"['2023-07-07', '07:05:16', '130', '236']"
"['2023-07-07', '07:05:17', '80', '237']"
"['2023-07-07', '07:05:18', '82', '241']"
"['2023-07-07', '07:05:19', '78', '235']"
"['2023-07-07', '07:05:20', '77', '235']"
"['2023-07-07', '07:05:21', '77', '236']"
"['2023-07-07', '07:05:22', '76', '237']"
"['2023-07-07', '07:05:23', '80', '236']"
"['2023-07-07', '07:05:24', '78', '236']"
"['2023-07-07', '07:05:26', '364', '536']"
"['2023-07-07', '07:05:26', '482', '522']"
"['2023-07-07', '07:05:28', '0', '0']"
"['2023-07-07', '07:05:29', '0', '0']"
"['2023-07-07', '07:05:30', '0', '0']"
"['2023-07-07', '07:05:31', '222', '301']"
"['2023-07-07', '07:05:32', '79', '236']"
"['2023-07-07', '07:05:33', '78', '237']"
"['2023-07-07', '07:05:34', '77', '235']"
"['2023-07-07', '07:05:35', '79', '241']"
"['2023-07-07', '07:05:36', '104', '268']"
"['2023-07-07', '07:05:37', '102', '249']"
"['2023-07-07', '07:05:38', '77', '238']"
"['2023-07-07', '07:05:39', '79', '234']"
"['2023-07-07', '07:05:40', '94', '238']"
"['2023-07-07', '07:05:41', '80', '234']"
"['2023-07-07', '07:05:42', '77', '237']"
"['2023-07-07', '07:05:43', '78', '235']"
"['2023-07-07', '07:05:44', '79', '234']"
"['2023-07-07', '07:05:45', '80', '235']"
"['2023-07-07', '07:05:46', '87', '236']"
"['2023-07-07', '07:05:47', '78', '235']"
"['2023-07-07', '07:05:48', '77', '239']"
"['2023-07-07', '07:05:49', '77', '242']"
"['2023-07-07', '07:05:50', '78', '234']"
"['2023-07-07', '07:05:51', '118', '274']"
"['2023-07-07', '07:05:52', '76', '236']"
"['2023-07-07', '07:05:53', '78', '236']"
"['2023-07-07', '07:05:54', '77', '236']"
"['2023-07-07', '07:05:55', '79', '241']"
"['2023-07-07', '07:05:56', '76', '239']"
"['2023-07-07', '07:05:57', '78', '237']"
"['2023-07-07', '07:05:58', '77', '238']"
"['2023-07-07', '07:05:59', '77', '235']"
"['2023-07-07', '07:06:00', '80', '234']"
"['2023-07-07', '07:06:01', '78', '234']"
"['2023-07-07', '07:06:02', '77', '237']"
"['2023-07-07', '07:06:03', '78', '238']"
"['2023-07-07', '07:06:04', '79', '238']"
"['2023-07-07', '07:06:05', '77', '236']"
"['2023-07-07', '07:06:06', '117', '266']"
"['2023-07-07', '07:06:07', '79', '234']"
"['2023-07-07', '07:06:08', '78', '234']"
"['2023-07-07', '07:06:09', '77', '234']"
"['2023-07-07', '07:06:10', '83', '253']"
"['2023-07-07', '07:06:11', '77', '235']"
"['2023-07-07', '07:06:12', '78', '234']"
"['2023-07-07', '07:06:13', '89', '245']"
"['2023-07-07', '07:06:14', '77', '235']"
"['2023-07-07', '07:06:15', '80', '239']"
"['2023-07-07', '07:06:16', '96', '255']"
"['2023-07-07', '07:06:17', '79', '237']"
"['2023-07-07', '07:06:18', '79', '235']"
"['2023-07-07', '07:06:19', '94', '242']"
"['2023-07-07', '07:06:20', '83', '240']"
"['2023-07-07', '07:06:21', '78', '234']"
"['2023-07-07', '07:06:22', '80', '233']"
"['2023-07-07', '07:06:23', '79', '234']"
"['2023-07-07', '07:06:24', '78', '246']"
"['2023-07-07', '07:06:25', '81', '240']"
"['2023-07-07', '07:06:26', '77', '233']"
"['2023-07-07', '07:06:27', '77', '237']"
"['2023-07-07', '07:06:29', '80', '239']"
"['2023-07-07', '07:06:30', '291', '460']"
"['2023-07-07', '07:06:31', '79', '238']"
"['2023-07-07', '07:06:32', '80', '240']"
"['2023-07-07', '07:06:33', '76', '235']"
"['2023-07-07', '07:06:34', '222', '377']"
"['2023-07-07', '07:06:35', '77', '238']"
"['2023-07-07', '07:06:36', '111', '272']"
"['2023-07-07', '07:06:37', '76', '236']"
"['2023-07-07', '07:06:38', '81', '236']"
"['2023-07-07', '07:06:39', '79', '240']"
"['2023-07-07', '07:06:40', '101', '260']"
"['2023-07-07', '07:06:41', '78', '234']"
"['2023-07-07', '07:06:42', '76', '236']"
"['2023-07-07', '07:06:43', '81', '234']"
"['2023-07-07', '07:06:44', '77', '236']"
"['2023-07-07', '07:06:46', '278', '0']"
"['2023-07-07', '07:06:46', '77', '233']"
"['2023-07-07', '07:06:47', '78', '234']"
"['2023-07-07', '07:06:48', '79', '234']"
"['2023-07-07', '07:06:49', '77', '235']"
"['2023-07-07', '07:06:50', '78', '234']"
"['2023-07-07', '07:06:51', '81', '235']"
"['2023-07-07', '07:06:52', '76', '236']"
"['2023-07-07', '07:06:53', '78', '233']"
"['2023-07-07', '07:06:54', '76', '237']"
"['2023-07-07', '07:06:55', '76', '241']"
"['2023-07-07', '07:06:56', '78', '234']"
"['2023-07-07', '07:06:57', '77', '236']"
"['2023-07-07', '07:06:58', '77', '235']"
"['2023-07-07', '07:06:59', '78', '235']"
"['2023-07-07', '07:07:00', '93', '234']"
"['2023-07-07', '07:07:01', '77', '237']"
"['2023-07-07', '07:07:02', '89', '235']"
"['2023-07-07', '07:07:03', '80', '236']"
"['2023-07-07', '07:07:04', '77', '235']"
"['2023-07-07', '07:07:05', '86', '263']"
"['2023-07-07', '07:07:06', '77', '233']"
"['2023-07-07', '07:07:07', '80', '234']"
"['2023-07-07', '07:07:08', '78', '234']"
"['2023-07-07', '07:07:09', '80', '238']"
"['2023-07-07', '07:07:10', '77', '272']"
"['2023-07-07', '07:07:11', '78', '235']"
"['2023-07-07', '07:07:12', '78', '239']"
"['2023-07-07', '07:07:13', '78', '238']"
"['2023-07-07', '07:07:14', '79', '235']"
"['2023-07-07', '07:07:15', '79', '262']"
"['2023-07-07', '07:07:16', '79', '235']"
"['2023-07-07', '07:07:17', '80', '235']"
"['2023-07-07', '07:07:19', '186', '341']"
"['2023-07-07', '07:07:20', '77', '238']"
"['2023-07-07', '07:07:21', '78', '238']"
"['2023-07-07', '07:07:22', '78', '233']"
"['2023-07-07', '07:07:23', '78', '238']"
"['2023-07-07', '07:07:24', '80', '235']"
"['2023-07-07', '07:07:25', '119', '240']"
"['2023-07-07', '07:07:26', '100', '255']"
"['2023-07-07', '07:07:27', '80', '235']"
"['2023-07-07', '07:07:28', '77', '0']"
"['2023-07-07', '07:07:29', '78', '236']"
"['2023-07-07', '07:07:30', '111', '437']"
"['2023-07-07', '07:07:31', '78', '235']"
"['2023-07-07', '07:07:32', '78', '235']"
"['2023-07-07', '07:07:33', '78', '235']"
"['2023-07-07', '07:07:34', '79', '236']"
"['2023-07-07', '07:07:35', '101', '240']"
"['2023-07-07', '07:07:36', '77', '236']"
