date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 14:06:24, 83, 240
2023-07-08, 14:06:25, 80, 240
2023-07-08, 14:06:26, 98, 236
2023-07-08, 14:06:28, 81, 247
2023-07-08, 14:06:29, 81, 241
2023-07-08, 14:06:30, 239, 0
2023-07-08, 14:06:31, 80, 236
2023-07-08, 14:06:32, 82, 237
2023-07-08, 14:06:33, 80, 238
2023-07-08, 14:06:34, 82, 237
2023-07-08, 14:06:35, 82, 240
2023-07-08, 14:06:37, 81, 0
2023-07-08, 14:06:37, 83, 236
2023-07-08, 14:06:38, 83, 237
2023-07-08, 14:06:39, 81, 239
2023-07-08, 14:06:40, 81, 237
2023-07-08, 14:06:41, 81, 237
2023-07-08, 14:06:42, 80, 239
2023-07-08, 14:06:43, 80, 239
2023-07-08, 14:06:44, 83, 237
2023-07-08, 14:06:45, 81, 237
2023-07-08, 14:06:46, 80, 237
2023-07-08, 14:06:47, 83, 239
2023-07-08, 14:06:48, 82, 240
2023-07-08, 14:06:49, 80, 235
2023-07-08, 14:06:50, 95, 235
2023-07-08, 14:06:51, 92, 235
2023-07-08, 14:06:53, 82, 246
2023-07-08, 14:06:54, 79, 240
2023-07-08, 14:06:55, 80, 237
2023-07-08, 14:06:56, 80, 236
2023-07-08, 14:06:57, 81, 238
2023-07-08, 14:06:58, 83, 245
2023-07-08, 14:06:59, 79, 236
2023-07-08, 14:07:00, 81, 234
2023-07-08, 14:07:01, 80, 235
2023-07-08, 14:07:02, 80, 236
2023-07-08, 14:07:03, 82, 235
2023-07-08, 14:07:04, 80, 233
2023-07-08, 14:07:05, 82, 236
2023-07-08, 14:07:06, 82, 236
2023-07-08, 14:07:07, 81, 236
2023-07-08, 14:07:08, 80, 236
2023-07-08, 14:07:09, 81, 234
2023-07-08, 14:07:10, 81, 238
2023-07-08, 14:07:11, 83, 235
2023-07-08, 14:07:12, 85, 236
2023-07-08, 14:07:13, 82, 253
2023-07-08, 14:07:14, 83, 254
2023-07-08, 14:07:16, 83, 247
2023-07-08, 14:07:17, 83, 236
2023-07-08, 14:07:18, 87, 238
2023-07-08, 14:07:19, 84, 234
2023-07-08, 14:07:20, 82, 238
2023-07-08, 14:07:21, 99, 270
2023-07-08, 14:07:22, 239, 394
2023-07-08, 14:07:23, 80, 238
2023-07-08, 14:07:24, 83, 234
2023-07-08, 14:07:25, 81, 236
2023-07-08, 14:07:26, 83, 236
2023-07-08, 14:07:27, 81, 234
2023-07-08, 14:07:28, 80, 236
2023-07-08, 14:07:29, 80, 234
2023-07-08, 14:07:30, 82, 232
2023-07-08, 14:07:31, 82, 235
2023-07-08, 14:07:32, 83, 234
2023-07-08, 14:07:33, 83, 235
2023-07-08, 14:07:34, 80, 234
2023-07-08, 14:07:35, 82, 238
2023-07-08, 14:07:36, 91, 235
2023-07-08, 14:07:37, 81, 248
2023-07-08, 14:07:38, 83, 246
2023-07-08, 14:07:40, 80, 249
2023-07-08, 14:07:41, 82, 240
2023-07-08, 14:07:42, 83, 235
2023-07-08, 14:07:43, 81, 234
2023-07-08, 14:07:44, 83, 244
2023-07-08, 14:07:45, 81, 236
2023-07-08, 14:07:46, 81, 249
2023-07-08, 14:07:47, 82, 244
2023-07-08, 14:07:48, 83, 245
2023-07-08, 14:07:49, 82, 241
2023-07-08, 14:07:50, 81, 240
2023-07-08, 14:07:51, 85, 237
2023-07-08, 14:07:52, 81, 237
2023-07-08, 14:07:53, 81, 237
2023-07-08, 14:07:54, 79, 237
2023-07-08, 14:07:55, 81, 234
2023-07-08, 14:07:56, 82, 234
2023-07-08, 14:07:57, 82, 234
2023-07-08, 14:07:58, 79, 236
2023-07-08, 14:07:59, 81, 235
2023-07-08, 14:08:00, 79, 234
2023-07-08, 14:08:01, 80, 233
2023-07-08, 14:08:02, 89, 233
2023-07-08, 14:08:03, 88, 235
2023-07-08, 14:08:05, 81, 241
2023-07-08, 14:08:06, 79, 247
2023-07-08, 14:08:07, 79, 243
2023-07-08, 14:08:08, 80, 234
2023-07-08, 14:08:09, 82, 234
2023-07-08, 14:08:10, 79, 245
2023-07-08, 14:08:11, 80, 237
2023-07-08, 14:08:12, 83, 235
2023-07-08, 14:08:13, 83, 234
2023-07-08, 14:08:15, 82, 0
2023-07-08, 14:08:15, 80, 237
2023-07-08, 14:08:16, 81, 236
2023-07-08, 14:08:17, 82, 234
2023-07-08, 14:08:18, 81, 233
2023-07-08, 14:08:19, 81, 236
2023-07-08, 14:08:20, 80, 236
2023-07-08, 14:08:21, 81, 234
2023-07-08, 14:08:22, 81, 236
2023-07-08, 14:08:23, 81, 234
2023-07-08, 14:08:24, 85, 235
2023-07-08, 14:08:25, 79, 253
2023-07-08, 14:08:26, 80, 246
2023-07-08, 14:08:28, 80, 247
2023-07-08, 14:08:29, 175, 327
2023-07-08, 14:08:30, 84, 240
2023-07-08, 14:08:31, 81, 234
2023-07-08, 14:08:32, 113, 280
2023-07-08, 14:08:33, 80, 236
2023-07-08, 14:08:34, 79, 233
2023-07-08, 14:08:35, 81, 236
2023-07-08, 14:08:36, 80, 234
2023-07-08, 14:08:37, 80, 234
2023-07-08, 14:08:38, 81, 234
2023-07-08, 14:08:39, 81, 235
2023-07-08, 14:08:40, 81, 233
2023-07-08, 14:08:41, 82, 237
2023-07-08, 14:08:42, 81, 234
2023-07-08, 14:08:43, 82, 235
2023-07-08, 14:08:44, 81, 234
2023-07-08, 14:08:45, 83, 234
2023-07-08, 14:08:46, 85, 234
2023-07-08, 14:08:47, 82, 235
2023-07-08, 14:08:49, 80, 241
2023-07-08, 14:08:50, 81, 236
2023-07-08, 14:08:51, 80, 233
2023-07-08, 14:08:52, 83, 235
2023-07-08, 14:08:53, 82, 234
2023-07-08, 14:08:54, 79, 250
2023-07-08, 14:08:55, 81, 247
2023-07-08, 14:08:56, 81, 248
2023-07-08, 14:08:57, 83, 243
2023-07-08, 14:08:58, 83, 242
2023-07-08, 14:08:59, 80, 237
2023-07-08, 14:09:01, 83, 0
2023-07-08, 14:09:01, 78, 235
2023-07-08, 14:09:02, 80, 237
2023-07-08, 14:09:03, 82, 234
2023-07-08, 14:09:04, 126, 274
2023-07-08, 14:09:05, 79, 235
2023-07-08, 14:09:06, 80, 235
2023-07-08, 14:09:07, 79, 234
2023-07-08, 14:09:08, 81, 233
2023-07-08, 14:09:09, 80, 235
2023-07-08, 14:09:10, 81, 233
2023-07-08, 14:09:11, 89, 236
2023-07-08, 14:09:12, 81, 235
2023-07-08, 14:09:14, 80, 235
2023-07-08, 14:09:15, 83, 235
2023-07-08, 14:09:16, 80, 234
2023-07-08, 14:09:17, 80, 237
2023-07-08, 14:09:18, 82, 235
2023-07-08, 14:09:19, 80, 237
2023-07-08, 14:09:20, 80, 235
2023-07-08, 14:09:21, 80, 236
2023-07-08, 14:09:22, 80, 235
2023-07-08, 14:09:23, 79, 237
2023-07-08, 14:09:24, 80, 236
2023-07-08, 14:09:25, 80, 239
2023-07-08, 14:09:26, 83, 235
2023-07-08, 14:09:27, 81, 233
2023-07-08, 14:09:28, 82, 236
2023-07-08, 14:09:29, 81, 236
